,source,target,type
598,Mediterranean Sea,Nha Trang,located in or next to body of water
599,Nguyễn dynasty,France,country
600,Vietnamese đồng,Nui (atoll),part of
601,Tràng An Scenic Landscape Complex,Trang Province,contains administrative territorial entity
602,Highway,Sea level,instance of
603,Central Highlands (Vietnam),Mekong Delta,has part
604,BBC News,Vietnam,main subject
605,China,Nha Trang,located on terrain feature
606,French Quarter,Da Lat,located in the administrative territorial entity
607,Mediterranean Sea,Sơn Trà District,has part
608,Nha Trang,Thailand,contains administrative territorial entity
609,Ho Chi Minh City,Mekong Delta,located on terrain feature
610,Vĩnh Phúc Province,Nha Trang,located in the administrative territorial entity
611,BBC News,Mekong Delta,part of
612,United States dollar,China,followed by
613,Da Nang,Han River (Korea),mouth of the watercourse
614,Quan Cong,Nha Trang,located in the administrative territorial entity
615,Scottish Highlands,Bay Meadows Racetrack,located on terrain feature
616,Mekong Delta,Ho Chi Minh City,part of
617,Gautama Buddha,Trần dynasty,follows
618,Hà Giang Province,Mù Cang Chải District,located in the administrative territorial entity
619,Bay Meadows Racetrack,Delta 4,has part
620,Hội An,Japan,crosses
621,"Ann, Myanmar",Vietnamese đồng,followed by
622,Ancient Egypt,Nguyễn dynasty,has part
623,North Vietnam,Thailand,country
624,San Francisco Bay,Elizabeth II,crosses
625,Vietnamese đồng,Central Vietnam,country
626,Atlantic Ocean,Johann Sebastian Bach,located on terrain feature
627,Sea level,Johann Sebastian Bach,mountain range
628,Phan Thiết,Côn Đảo,located on terrain feature
629,Northwest (Vietnam),Lào Cai,contains administrative territorial entity
630,Ho Chi Minh Highway,Highway,instance of
631,French colonial empire,French Indochina,followed by
632,Phong Nha-Kẻ Bàng National Park,Ecosystem,part of
633,Vietnam,Hà Giang Province,contains administrative territorial entity
634,Nguyễn dynasty,Phan Thiết,residence
635,South Vietnam,Phú Quốc,located on terrain feature
636,Vietnam,Phu Bai International Airport,country
637,Sea level,Johann Sebastian Bach,located on terrain feature
638,Vietnamese đồng,United States dollar,follows
639,Vietnamese đồng,Da Nang,located in the administrative territorial entity
640,Tự Đức,Nguyễn dynasty,country of citizenship
641,Trần Hưng Đạo,Taoism,sibling
642,North Island,Côn Đảo,located on terrain feature
643,"Van, Turkey",United States dollar,instance of
644,Dong Van Karst Plateau Geopark,Karst Plateau,located on terrain feature
645,Japan,South Korea,has part
646,Hỏa Lò Prison,France,operator
647,Mũi Né,Vietnam,country
648,Mũi Né,Phan Thiết,location
649,Perfume River,Huế,mouth of the watercourse
650,Indonesia,Singapore,has part
651,Champa,Trần dynasty,follows
652,France,French colonial empire,movement
653,Fansipan,Orient Express,followed by
654,Mỹ Sơn,Da Nang,residence
655,Pagoda of the Celestial Lady,South Vietnam,country
656,Sunday Herald,The Sun (United Kingdom),owned by
657,Phan Thiết,Phú Quý,located on terrain feature
658,Da Nang,Hàn River Bridge,crosses
659,Da Nang,French colonial empire,location
660,Da Lat,French Quarter,located in the administrative territorial entity
661,Nguyễn dynasty,Taoism,instance of
662,Marble Mountains (Siskiyou County),Marble Mountains (Vietnam),mountain range
663,Han River (Korea),Dragon Bridge (Da Nang),crosses
664,Nha Trang,Quan Cong,located in the administrative territorial entity
665,Nguyễn dynasty,Côn Đảo,spouse
666,UNESCO,Hội An,operator
667,Hòa Vang District,Sơn Trà District,located in the administrative territorial entity
668,Hoa Lư,Vietnam,country
669,"Ann, Myanmar",Taoism,said to be the same as
670,Đinh Bộ Lĩnh,Soviet Union,country
671,Cúc Phương National Park,Tràng An Scenic Landscape Complex,located in the administrative territorial entity
672,Hàn River Bridge,Dragon Bridge (Da Nang),followed by
673,Da Nang,Vietnamese đồng,owned by
674,Da Nang,Dragon Bridge (Da Nang),crosses
675,Da Lat,Taoism,located in the administrative territorial entity
676,Vietnam,Laos,contains administrative territorial entity
677,United States dollar,Côn Đảo,instance of
678,Thích Quảng Đức,Buddhism,occupation
679,Atlantic Ocean,Nha Trang,located in the administrative territorial entity
680,"Van, Turkey",Côn Đảo,located in the administrative territorial entity
681,Da Lat,South Vietnam,located on terrain feature
682,Vietnam,Hội An,country
683,Alaska,Ho Chi Minh City,part of
684,Vietnamese đồng,Mũi Né,located in the administrative territorial entity
685,Quan Cong,Taoism,religion
686,Huyền Trân,Trần dynasty,located in the administrative territorial entity
687,Vietnam,Phan Thiết,contains administrative territorial entity
688,Malaysia,Mekong Delta,location
689,Phu Bai Combat Base,Vietnam,country
690,Vietnam,Thailand,country
691,Delta 4,Bay Meadows Racetrack,has part
692,Côn Đảo,Atlantic Ocean,followed by
693,Southeast Asia,Mỹ Sơn,part of
694,Trang Airport,Vĩnh Phúc Province,located in the administrative territorial entity
695,Mainland China,Taoism,followed by
696,Phạm Văn Đồng,Taoism,located in the administrative territorial entity
697,West Lake,Hanoi,located on terrain feature
698,Indonesia,Thailand,part of
699,Vietnam,Ho Chi Minh City,owned by
700,Herald Sun,Asia,country of origin
701,"St Joseph's Cathedral, Rockhampton",French colonial empire,movement
702,Thailand,Nha Trang,contains administrative territorial entity
703,"St Joseph's Cathedral, Rockhampton",French colonial empire,location
704,Sơn Trà District,Shang dynasty,followed by
705,Pagoda of the Celestial Lady,Huế,location
706,Dragon Bridge (Da Nang),Trần Thị Lý Bridge,followed by
707,Ho Chi Minh Highway,Ho Chi Minh,crosses
708,Vietnam,Shang dynasty,country of origin
709,Singapore,China,has part
710,Taoism,Long Sơn Pagoda,religion
711,Highway,Ho Chi Minh,located in the administrative territorial entity
712,Bà Rịa,Côn Đảo,has part
713,Vietnam,Hoa Lư,country
714,Phu Bai International Airport,Phu Bai Combat Base,place served by transport hub
715,Middle East,United States,has part
716,French colonial empire,French Algeria,followed by
717,Da Nang,Europe,location
718,Phan Thiết,Phú Quý,located in the administrative territorial entity
719,Lào Cai,Northwest (Vietnam),contains administrative territorial entity
720,Cambodia,Indonesia,has part
721,UNESCO,Nguyễn dynasty,part of
722,"Temple of Literature, Hanoi",Temple in Jerusalem,location
723,Da Nang International Airport,Da Nang,place served by transport hub
724,Vietnam Museum of Ethnology,Vietnam,country
725,Phú Quốc,Vingroup,location
726,Mù Cang Chải District,Vietnam,country
727,Hoàn Kiếm District,Hoàn Kiếm Lake,located in or next to body of water
728,Côn Đảo,Hawaiian Islands,located on terrain feature
729,Japan,Cambodia,has part
730,Cambodia,Nepal,part of
731,South China Sea,Chàm Islands,located on terrain feature
732,Northwest (Vietnam),Vietnam,country
733,Hanoi,Philippines,headquarters location
734,Côn Đảo,Phú Quý,located on terrain feature
735,United States dollar,Mainland China,followed by
736,Hang Sơn Đoòng,Vietnam,country of origin
737,France,Nguyễn dynasty,owned by
738,Twin Mountains,Sea level,mountain range
739,Fansipan,Vietnam,country
740,Buddhism,South Vietnam,country of citizenship
741,Vietnam,Bà Rịa,contains administrative territorial entity
742,Sea level,Ho Chi Minh,crosses
743,Taoism,Da Lat,located in the administrative territorial entity
744,North Vietnam,Nha Trang,country
745,Buddhism,France,religion
746,Simon Skjodt Assembly Hall,Fujian,located in the administrative territorial entity
747,South Korea,Indonesia,has part
748,Phú Quốc,Vietnam,country
749,Dragon Bridge (Da Nang),Han River (Korea),crosses
750,Nguyễn dynasty,Ho Chi Minh,head of government
751,Da Lat,French Indochina,movement
752,Southeast Asia,Hoàng Su Phì District,located in the administrative territorial entity
753,"Edam, Netherlands",Phong Nha Cave,location
754,Malaysia,United States,part of
755,France,Nguyễn dynasty,country
756,Bay Meadows Racetrack,BBC News,has part
757,Côn Đảo,Taoism,contains administrative territorial entity
758,One Pillar Pagoda,Ho Chi Minh,occupant
759,Hội An,Silk Road,location
760,Trần Thị Lý Bridge,Dragon Bridge (Da Nang),followed by
761,Vietnam,Northwest (Vietnam),contains administrative territorial entity
762,China,Singapore,has part
763,Soviet Union,Russian Aircraft Corporation MiG,operator
764,South Vietnam,Da Lat,located on terrain feature
765,Hạ Long Bay,Vietnam,contains administrative territorial entity
766,"Ann, Myanmar",Taoism,part of
767,Malaysia,Middle East,main subject
768,Trần dynasty,Zhou dynasty,applies to jurisdiction
769,Middle East,Vietnam,country of origin
770,Thailand,South Korea,has part
771,United States dollar,Côn Đảo,located in the administrative territorial entity
772,Côn Đảo,Nguyễn dynasty,residence
773,Mount Everest,Fansipan,part of
774,Atlantic Ocean,Phú Quốc,located in or next to body of water
775,Taoism,Mainland China,followed by
776,Vietnam,Hạ Long Bay,contains administrative territorial entity
777,Trần dynasty,Shang dynasty,follows
778,Marble Mountains (Vietnam),Marble Mountains (Siskiyou County),has part
779,Vietnam,Da Lat,country
780,Da Nang,Vietnamese đồng,instance of
781,Phan Thiết,Vietnam,country
782,Cần Thơ,Mekong Delta,located on terrain feature
783,Côn Đảo,Ho Chi Minh City,located in the administrative territorial entity
784,Phú Quốc,Dương Đông,located in the administrative territorial entity
785,Quan Cong,Gautama Buddha,part of
786,Mekong Delta,Malaysia,part of
787,Vietnam,"Temple of Literature, Hanoi",location
788,Cát Bà Island,Cát Bà National Park,has part
789,Mekong Delta,Mediterranean Sea,located in or next to body of water
790,Au Tau,Hà Giang,location
791,Vietnam,Sơn Trà District,country of origin
792,Cát Bà National Park,Cát Bà Island,has part
793,Ho Chi Minh,French colonial empire,participant
794,Ho Chi Minh,Ho Chi Minh trail,part of
795,South Vietnam,Thích Quảng Đức,country of citizenship
796,Japan,Ancient Greece,language of work or name
797,Lotus Cars,South African Press Association,part of
798,Elizabeth II,Isle of Wight,located on terrain feature
799,Southeast Asia,Mỹ Sơn,located on terrain feature
800,Da Nang,Đồng Hới,contains administrative territorial entity
801,Côn Đảo,BBC News,has part
802,Mount Fuji,Zen,part of
803,Ho Chi Minh Museum,Ho Chi Minh,occupant
804,Delta 4,Vietnam,country
805,Thừa Thiên-Huế Province,Da Nang,contains administrative territorial entity
806,Nguyễn Khánh,Dương Văn Minh,father
807,Atlantic Ocean,United States dollar,followed by
808,Huế,Vietnamese đồng,location
809,Malaysia,Mekong Delta,part of
810,Sơn Trà District,Da Nang,located in the administrative territorial entity
811,Vietnam,Southeast Asia,country
812,French colonial empire,Da Lat,residence
813,Dong Van Karst Plateau Geopark,Karst Plateau,instance of
814,Shang dynasty,Vietnam,country of origin
815,Ecosystem,Chàm Islands,part of
816,Phong Nha-Kẻ Bàng National Park,Vietnam,contains administrative territorial entity
817,United States dollar,"Van, Turkey",has part
818,Điện Biên Province,Sa Pa,contains administrative territorial entity
819,Mekong Delta,Cần Thơ,located on terrain feature
820,Khánh Hòa Province,Nha Trang,contains administrative territorial entity
821,Pagoda of the Celestial Lady,Perfume River,located on terrain feature
822,South China Sea,Phan Thiết,located in or next to body of water
823,Thailand,Nguyễn Thái Học,said to be the same as
824,Phú Quốc,North Island,located on terrain feature
825,China,Atlantic Ocean,followed by
826,Marble Mountains (Vietnam),Hòa Vang District,mountain range
827,French Algeria,Da Nang,location
828,Nepal,China,part of
829,Cát Bà Island,Hạ Long Bay,residence
830,Sơn Trà District,Marble Mountains (Vietnam),located on terrain feature
831,Soviet Union,Đinh Bộ Lĩnh,country
832,Sandhills (Nebraska),Bau (island),said to be the same as
833,Phú Quốc National Park,Phú Quốc,contains administrative territorial entity
834,Japan,Da Lat,located in the administrative territorial entity
835,Nguyễn dynasty,French Indochina,owned by
836,Ho Chi Minh City,Vũng Tàu,located in the administrative territorial entity
837,Silk Road,Hội An,location
838,Bình Thuận Province,Tuy Phong District,contains administrative territorial entity
839,South Korea,Nepal,part of
840,Da Nang,Da Nang International Airport,place served by transport hub
841,Vietnam,Mù Cang Chải District,country
842,Minh Mạng,UNESCO,architect
843,Perfume River,Huế,located in or next to body of water
844,Nguyễn dynasty,United States dollar,spouse
845,French Quarter,French colonial empire,said to be the same as
846,Annamite Range,Huế,located in the administrative territorial entity
847,Caribbean,Cát Bà Island,located on terrain feature
848,"Van, Turkey",Taoism,located in the administrative territorial entity
849,Da Nang,French Algeria,location
850,Vietnam,Bay Meadows Racetrack,contains administrative territorial entity
851,Côn Đảo,Côn Đảo National Park,contains administrative territorial entity
852,Chàm Islands,South China Sea,located in or next to body of water
853,Da Lat,French colonial empire,located in the administrative territorial entity
854,Atlantic Ocean,South Vietnam,located on terrain feature
855,Kiên Giang Province,Phú Quốc,contains administrative territorial entity
856,Alaska,BBC News,has part
857,Phú Quốc,Kiên Giang Province,located in the administrative territorial entity
858,Côn Đảo,Vietnam,country of citizenship
859,Phú Quốc,Kiên Giang Province,contains administrative territorial entity
860,Đồng Hới,Da Nang,located in the administrative territorial entity
861,Bau (island),Sandhills (Nebraska),said to be the same as
862,Taoism,China,instance of
863,Nguyễn dynasty,Taoism,spouse
864,Ho Chi Minh City,Mekong Delta,located in the administrative territorial entity
865,BBC News,Vietnam,country of origin
866,China,Japan,has part
867,Vietnamese đồng,Vietnam,country
868,Buddhism,Vietnam,country
869,Bay Meadows Racetrack,Jayavarman II,has part
870,Taoism,United States dollar,has part
871,Vietnam,Da Nang,country
872,Vingroup,Istanbul Tram,location
873,Vietnam,Da Nang,contains administrative territorial entity
874,Trang Airport,Mediterranean Sea,located in or next to body of water
875,Taoism,Côn Đảo,located in the administrative territorial entity
876,Mainland China,United States dollar,followed by
877,Da Nang,Dragon Bridge (Da Nang),located in the administrative territorial entity
878,South Korea,Cambodia,part of
879,"Long Beach, California",Ngọc Hiển District,location
880,"Van, Turkey",Vietnamese đồng,followed by
881,Nha Trang,Trang Airport,contains administrative territorial entity
882,Singapore,Japan,has part
883,Da Lat,Nguyễn Hoàng,residence
884,Vietnam,Fansipan,country
885,Taoism,United States dollar,instance of
886,Tràng An Scenic Landscape Complex,Cúc Phương National Park,located in the administrative territorial entity
887,Mystic Mountain,Sun,location
888,Perfume River,Minh Mạng,father
889,Ho Chi Minh,Nguyễn dynasty,country
890,Han River (Korea),Đồng Hới,located in or next to body of water
891,Vietnam,Hoàng Su Phì District,country
892,Hỏa Lò Prison,Nguyễn dynasty,location
893,Mount Lao,Mũi Né,located on terrain feature
894,French Indochina,Hỏa Lò Prison,occupant
895,Ngọc Sơn (singer),Trần Hưng Đạo,sibling
896,Mekong Delta,Scottish Highlands,located on terrain feature
897,Mekong Delta,Alaska,located in the administrative territorial entity
898,South Korea,China,part of
899,Da Nang,Phạm Văn Đồng,residence
900,Taoism,Long Sơn Pagoda,movement
901,Cát Bà National Park,Caribbean,part of
902,Isle of Wight,Elizabeth II,located on terrain feature
903,South Vietnam,Da Lat,contains administrative territorial entity
904,Johann Sebastian Bach,Sea level,located on terrain feature
905,United States dollar,Taoism,instance of
906,Sea level,Mekong Delta,located in or next to body of water
907,Hawaiian Islands,Atlantic Ocean,located in or next to body of water
908,Mekong Delta,Taoism,located on terrain feature
909,Ho Chi Minh,Hàm Nghi,architect
910,Shang dynasty,Sơn Trà District,followed by
911,Vietnamese đồng,Côn Đảo,located in the administrative territorial entity
912,"Temple of Literature, Hanoi",Vietnam Museum of Ethnology,has part
913,Ho Chi Minh trail,Ho Chi Minh,part of
914,Fansipan,Mount Everest,part of
915,Dragon Bridge (Da Nang),Nguyễn dynasty,located in the administrative territorial entity
916,French colonial empire,French Indochina,participant
917,Philippines,Hạ Long Bay,has part
918,Ecosystem,Phong Nha-Kẻ Bàng National Park,part of
919,Mainland China,Vietnamese đồng,followed by
920,Nguyễn lords,Nguyễn Thị Minh Khai,sibling
921,French Indochina,Phú Quốc,location
922,Atlantic Ocean,Côn Đảo,located on terrain feature
923,French Indochina,Hỏa Lò Prison,location
924,Hanoi,Hạ Long Bay,has part
925,"Ann, Myanmar",Côn Đảo,said to be the same as
926,Phan Thiết,Vietnamese đồng,located in the administrative territorial entity
927,South Korea,Japan,has part
928,Dương Văn Minh,Minh Mạng,sibling
929,French colonial empire,Phú Quốc,country
930,Johann Sebastian Bach,Atlantic Ocean,located on terrain feature
931,Alaska,Taoism,has part
932,Ngũ Hành Sơn District,Da Nang,contains administrative territorial entity
933,InterContinental Danang Sun Peninsula Resort,InterContinental Hotels Group,followed by
934,France,Buddhism,religion
935,Mediterranean Sea,Trang Airport,located in or next to body of water
936,Vietnam,"Gours, Gironde",country
937,Instagram,Vietnam,country
938,Da Nang,French colonial empire,country
939,Điện Biên Province,Lai Châu Province,contains administrative territorial entity
940,Vietnamese đồng,Côn Đảo,sibling
941,Nguyễn dynasty,"Van, Turkey",residence
942,Vietnam,Da Lat,contains administrative territorial entity
943,Taoism,Mainland China,instance of
944,French Indochina,Ho Chi Minh,participant
945,Ho Chi Minh Mausoleum,Ho Chi Minh,occupant
946,French colonial empire,"St Joseph's Cathedral, Rockhampton",location
947,Da Lat,Bảo Đại,owned by
948,Mũi Né,Nguyễn dynasty,residence
949,French Indochina,Hàm Nghi,father
950,French colonial empire,Taoism,language of work or name
951,Vietnam,Ho Chi Minh City,country
952,Taoism,Vietnamese đồng,has part
953,Northern Vietnam,Vietnam,country
954,Hạ Long Bay,Tip Top (ice cream),located on terrain feature
955,Lào Cai,Lai Châu Province,contains administrative territorial entity
956,Singapore,South Korea,has part
957,Côn Đảo,United States dollar,followed by
958,Ho Chi Minh,Sea level,located in or next to body of water
959,Phạm Văn Đồng,Taoism,instance of
960,China,Vietnamese đồng,followed by
961,France,French colonial empire,religion
962,Mediterranean Sea,Vietnam,country
963,Ho Chi Minh,One Pillar Pagoda,notable work
964,Huế,Nguyễn Văn Thiệu,work location
965,Mainland China,China,followed by
966,Vietnam,Northern Vietnam,country
967,Atlantic Ocean,Mainland China,followed by
968,United States,Malaysia,part of
969,Vietnam,South Korea,has part
970,North Vietnam,Nha Trang,contains administrative territorial entity
971,"Van, Turkey",Taoism,instance of
972,Côn Đảo Prison,Côn Đảo,location
973,China,Côn Đảo,followed by
974,Phú Quý,Phan Thiết,located in the administrative territorial entity
975,Cát Bà Island,Hạ Long Bay,located in or next to body of water
976,South Korea,Singapore,has part
977,Da Lat,Vietnam,country
978,French colonial empire,France,follows
979,Vietnamese đồng,"Van, Turkey",followed by
980,The Sun (United Kingdom),Asia,located on terrain feature
981,Shang dynasty,Gautama Buddha,part of
982,Vietnamese đồng,Côn Đảo,contains administrative territorial entity
983,Vietnam,Mediterranean Sea,part of
984,Theres,Hạ Long Bay,located on terrain feature
985,Buddhism,South Vietnam,country
986,Taoism,Vietnamese đồng,followed by
987,Trần Hưng Đạo,Mongol Empire,military branch
988,Taoism,Mekong Delta,located in or next to body of water
989,United States dollar,Vietnamese đồng,followed by
990,"Temple of Literature, Hanoi",Vietnam,country
991,Instagram,Hội An,part of
992,Vietnam,Philippines,applies to jurisdiction
993,Phú Quốc,Caribbean,located on terrain feature
994,Côn Đảo,Vũng Tàu,located in the administrative territorial entity
995,Phu Bai Combat Base,Phu Bai International Airport,place served by transport hub
996,Vietnamese đồng,Taoism,followed by
997,Vietnamese đồng,Mainland China,followed by
998,Vietnam,Côn Đảo Prison,location
999,Central Highlands (Vietnam),Delta 4,has part
1000,Hanoi,West Lake,located in or next to body of water
1001,Vietnam,Hoa Lư,contains administrative territorial entity
1002,Nguyễn dynasty,Huế,country
1003,Da Nang,Hội An,location
1004,Nguyễn Văn Thiệu,Minh Mạng,father
1005,Cambodia,Singapore,has part
1006,Nha Trang,Atlantic Ocean,located in or next to body of water
1007,Phạm Văn Đồng,Da Nang,residence
1008,Taoism,Trần Hưng Đạo,sibling
1009,Trang Airport,Nha Trang,located in the administrative territorial entity
1010,Côn Đảo,China,followed by
1011,Isle of Wight,San Francisco Bay,located in or next to body of water
1012,Central Vietnam,Phan Thiết,located in the administrative territorial entity
1013,Trang Airport,Nha Trang,contains administrative territorial entity
1014,Da Nang,"French Village, Nova Scotia",located in the administrative territorial entity
1015,Free imperial city,Huế,located in the administrative territorial entity
1016,Sơn Trà District,Mediterranean Sea,located in or next to body of water
1017,Da Nang,Hòa Vang District,contains administrative territorial entity
1018,Cambodia,China,country
1019,Phong Nha Cave,Vietnam,country
1020,Phú Quốc,Phú Quốc National Park,contains administrative territorial entity
1021,Highway,Ho Chi Minh Highway,has part
1022,Da Nang,Hòa Vang District,located in the administrative territorial entity
1023,Jayavarman II,Vietnam,country
1024,United States dollar,Phạm Văn Đồng,has part
1025,Russian Aircraft Corporation MiG,Đinh Bộ Lĩnh,location
1026,Tip Top (ice cream),Hạ Long Bay,located on terrain feature
1027,Taoism,"Ann, Myanmar",part of
1028,Sa Pa,Điện Biên Province,contains administrative territorial entity
1029,Laos,Northwest (Vietnam),contains administrative territorial entity
1030,Mekong Delta,Alaska,located on terrain feature
1031,China,Cambodia,contains administrative territorial entity
1032,Huế,Thừa Thiên-Huế Province,contains administrative territorial entity
1033,Phạm Văn Đồng,Vietnamese đồng,followed by
1034,Vũng Tàu,Ho Chi Minh City,contains administrative territorial entity
1035,Mũi Né,South China Sea,located in or next to body of water
1036,Vietnam,Cambodia,contains administrative territorial entity
1037,Thừa Thiên-Huế Province,Huế,contains administrative territorial entity
1038,Village,Tràng An Scenic Landscape Complex,located in the administrative territorial entity
1039,Mainland Southeast Asia,Fansipan,location
1040,Vietnamese đồng,Taoism,has part
1041,Mediterranean Sea,Sea level,located on terrain feature
1042,Po Nagar,Kalan Rural District,location
1043,Delta 4,Jayavarman II,has part
1044,Nguyễn Thị Minh Khai,Nguyễn lords,sibling
1045,Ho Chi Minh City,Mekong Delta,located in or next to body of water
1046,Côn Đảo,Vietnamese đồng,location
1047,Nguyễn dynasty,French Indochina,located in the administrative territorial entity
1048,Fansipan,Mainland Southeast Asia,located on terrain feature
1049,Da Nang,Hội An,contains administrative territorial entity
1050,Côn Đảo,Mekong Delta,located in or next to body of water
1051,Phong Nha Cave,"Gours, Gironde",instance of
1052,Nguyễn dynasty,Hỏa Lò Prison,location
1053,Nguyễn dynasty,Perfume River,country of citizenship
1054,Asia,Herald Sun,country of origin
1055,Huế,Minh Mạng,father
1056,Cát Bà Island,Caribbean,located on terrain feature
1057,"Ann, Myanmar",United States dollar,said to be the same as
1058,Indonesia,Nepal,has part
1059,Nepal,Singapore,has part
1060,China,United States dollar,followed by
1061,Khánh Hòa Province,Nha Trang,located in the administrative territorial entity
1062,Bình Thuận Province,Phan Thiết,contains administrative territorial entity
1063,Japan,Indonesia,followed by
1064,Minh Mạng,Nguyễn Văn Thiệu,father
1065,South Central Coast,Nha Trang,located on terrain feature
1066,Huế,UNESCO,location
1067,Hà Giang Province,Southeast Asia,located in the administrative territorial entity
1068,Vũng Tàu,Bà Rịa,contains administrative territorial entity
1069,"Van, Turkey",Nguyễn dynasty,residence
1070,Nguyễn Thái Học,Thailand,said to be the same as
1071,Highway,Sea level,crosses
1072,Vietnamese đồng,Côn Đảo,followed by
1073,Atlantic Ocean,Sea level,located in or next to body of water
1074,Trang Airport,Thái Nguyên,contains administrative territorial entity
1075,Ngọc Hiển District,"Long Beach, California",location
1076,Da Nang,Hàn River Bridge,contains administrative territorial entity
1077,Minh Mạng,Huế,residence
1078,Vũng Tàu,Côn Đảo,located in the administrative territorial entity
1079,West Lake,Tây Hồ District,located in or next to body of water
1080,Sóc Trăng,Indonesia,country of origin
1081,Trần dynasty,Gautama Buddha,follows
1082,Phú Quốc,Kiên Giang Province,located on terrain feature
1083,Da Nang,Thừa Thiên-Huế Province,contains administrative territorial entity
1084,Hội An,Instagram,part of
1085,United States,Middle East,has part
1086,Nguyễn dynasty,Ancient Egypt,location
1087,Taoism,Côn Đảo,sibling
1088,Vietnam,Phan Thiết,country
1089,Atlantic Ocean,China,followed by
1090,Huế,Annamite Range,located on terrain feature
1091,Ho Chi Minh,French Indochina,participant
1092,China,Taoism,instance of
1093,Mediterranean Sea,Shang dynasty,located in or next to body of water
1094,Vietnam,Vietnam Museum of Ethnology,location
1095,Scottish Highlands,Vietnam,country
1096,Lai Châu Province,Lào Cai,contains administrative territorial entity
1097,Zhou dynasty,Trần dynasty,father
1098,Nguyễn Văn Linh,Nguyễn dynasty,sibling
1099,Central Vietnam,Vietnam,country
1100,UNESCO,Chàm Islands,operator
1101,Dương Văn Minh,Sea level,located in or next to body of water
1102,Da Nang,Hải Vân Pass,located in the administrative territorial entity
1103,Vietnam,Lào Cai,contains administrative territorial entity
1104,Phú Quốc,Atlantic Ocean,located on terrain feature
1105,United States dollar,Nguyễn dynasty,residence
1106,United States dollar,Côn Đảo,has part
1107,Marble Mountains (Vietnam),Da Nang,located on terrain feature
1108,Indonesia,Cambodia,has part
1109,Côn Đảo,Taoism,has part
1110,Phạm Văn Đồng,"Van, Turkey",residence
1111,Northwest (Vietnam),Laos,contains administrative territorial entity
1112,Nha Trang,Thái Nguyên,contains administrative territorial entity
1113,Da Nang,Đồng Hới,located in the administrative territorial entity
1114,Lào Cai,Laos,contains administrative territorial entity
1115,Tan Long,Philippines,located on terrain feature
1116,Scottish Highlands,Mekong Delta,has part
1117,Nha Trang,Malaysia,location
1118,Phú Quốc National Park,North Island,located on terrain feature
1119,Indonesia,Sóc Trăng,country of origin
1120,Gautama Buddha,Bích Động,location
1121,Scottish Highlands,Jayavarman II,located on terrain feature
1122,United States dollar,Vietnamese đồng,sibling
1123,Da Lat,French colonial empire,residence
1124,Laos,Hanoi,country
1125,French Indochina,Ho Chi Minh trail,participant
1126,Ho Chi Minh City,Air Mekong,subsidiary
1127,Huế,Da Nang,contains administrative territorial entity
1128,South Vietnam,Buddhism,country of citizenship
1129,Japan,China,has part
1130,UNESCO,Falkland Islands,operator
1131,Vĩnh Phúc Province,Vinh,followed by
1132,Phạm Văn Đồng,Vietnamese đồng,residence
1133,Huế,Da Nang,located in the administrative territorial entity
1134,Minh Mạng,Nguyễn dynasty,country of citizenship
1135,Vũng Tàu,Vietnam,country
1136,Singapore,Indonesia,has part
1137,Hội An,Da Nang,location
1138,Taoism,Côn Đảo,contains administrative territorial entity
1139,South African Press Association,Lotus Cars,has part
1140,Hanoi,Hạ Long Bay,headquarters location
1141,Central Highlands (Vietnam),BBC News,has part
1142,Ho Chi Minh trail,Hàm Nghi,architect
1143,Chàm Islands,UNESCO,operator
1144,Mekong Delta,Delta 4,has part
1145,Nguyễn dynasty,Minh Mạng,father
1146,Da Nang,Annamite Range,located on terrain feature
1147,Phan Thiết,Bình Thuận Province,located in the administrative territorial entity
1148,Huế,Nguyễn dynasty,country
1149,Sơn Trà District,Marble Mountains (Siskiyou County),located on terrain feature
1150,France,French colonial empire,language of work or name
1151,Buddhism,South Vietnam,religion
1152,Laos,Lai Châu Province,contains administrative territorial entity
1153,UNESCO,Huế,location
1154,Mongol Empire,Trần dynasty,military branch
1155,Da Nang,Marble Mountains (Vietnam),mountain range
1156,Chàm Islands,Tibet,country
1157,Phú Quốc,Atlantic Ocean,located in or next to body of water
1158,French Quarter,Taoism,located in the administrative territorial entity
1159,Taoism,Nguyễn dynasty,instance of
1160,Nguyễn dynasty,Perfume River,has part
1161,Marble Mountains (Siskiyou County),Marble Mountains (Vietnam),has part
1162,Bình Thuận Province,Tuy Phong District,located in the administrative territorial entity
1163,Jayavarman II,Scottish Highlands,located on terrain feature
1164,Holy See,Matthew Chau,has part
1165,Ancient Greece,Hội An,located on terrain feature
1166,Phan Thiết,Mũi Né,contains administrative territorial entity
1167,Huế,Nguyễn dynasty,location
1168,Malaysia,North Vietnam,country of origin
1169,Mediterranean Sea,Phú Quốc,located on terrain feature
1170,Zhou dynasty,Trần dynasty,position held
1171,Vietnam,South China Sea,part of
1172,Laos,Vietnam,country
1173,Central Highlands (Vietnam),Jayavarman II,located on terrain feature
1174,Côn Đảo,North Island,located on terrain feature
1175,Mekong Delta,Côn Đảo,located in or next to body of water
1176,Ngũ Hành Sơn District,Da Nang,located in the administrative territorial entity
1177,French colonial empire,Ho Chi Minh,participant
1178,United States dollar,Côn Đảo,contains administrative territorial entity
1179,Phan Thiết,Central Vietnam,located in the administrative territorial entity
1180,Sơn Trà District,Shang dynasty,country of origin
1181,Sun,Mystic Mountain,location
1182,Phú Quốc,French colonial empire,country
